OBJECTID,Number,Liik,Tyyp,Nimi,Era_avalik,Kate,Soidutee_lai,Talihooldus,Valgustatud,Shape__Length,GlobalID
29497,,15,13,<Null>,1,10,0,0,1,3.76430604494374,{B908182E-D7F6-4D62-B569-2C32741BFD2B}
29502,,15,13,<Null>,1,10,0,0,1,4,{591837CE-DA6D-4C65-95FB-3987426275A3}
29505,,15,1,Võru,2,19,3.3,1,1,32.1449840566145,{62178B9D-5A73-4BFB-BD66-D49BA31015A1}
29506,,17,1,<Null>,2,41,3,0,,78.0573001204602,{567FEDBF-24AD-4D68-97F9-E09995128FFB}
29513,,15,1,Ringtee -Variku,0,10,3,0,1,72.8235332899174,{5EB04F40-2982-48DF-8A9F-462D37690E18}
29518,,15,1,Võru,2,19,3.3,1,1,5.31507290636732,{0013A018-7B23-4B17-AB1D-FFB9B318F32D}
29534,,15,17,Ringtee,2,19,4,1,1,689.951904980469,{E9DBB559-1627-4D16-9445-D69580C6B9E6}
29558,,15,1,Hipodroomi,2,13,3.5,1,1,61.0229067288215,{6FE2E879-00DB-4164-84EB-E7129F8DE25F}
29576,,15,1,Ringtee,1,10,3.5,0,1,56.384799294142,{71064AB7-A2D8-4F30-AE8E-8CF45BEB3E8C}
29580,,15,1,Hipodroomi,2,13,3.5,1,1,97.4311235617953,{89A03A30-5D6E-43E7-8DD8-BFD31C093593}
29597,,15,1,Ringtee,1,10,3.5,0,1,0.860232526704263,{597F1E72-E4A4-46A5-B0F1-8121845E2D17}
29599,,15,13,Kesa,1,10,0,0,1,8.6278731639482,{0F550432-4784-472A-8E2E-116A1A42643F}
29604,,15,1,Ringtee,2,10,3.5,0,1,22.7550077204606,{3327F621-2DFA-4A42-90A8-4A91CADC49CD}
29608,,16,1,<Null>,3,13,3,0,,9.63327566303384,{0B6534D8-434E-4EF3-8C7E-3A9787F41FDB}
29612,,15,1,Kaupmehe,2,19,3.3,1,1,44.7475138974223,{064B1799-4407-43A8-B725-3CFEF99D42F9}
29618,,15,11,Ringtee,2,10,3.5,0,1,17.3525649462718,{420A28E5-17FB-420B-80CB-233032364806}
29625,,16,1,<Null>,3,13,3,0,,5.52268050859363,{859A6113-4634-4130-BD47-4F2EED1B80B7}
29634,,15,1,Kaupmehe,2,19,3.3,1,1,158.207490341008,{F4D9B25F-0443-4DF1-89F5-2FD241E8854B}
29635,,15,1,Kasesalu,2,13,3.5,1,1,61.5525845056289,{C97A4CCC-1B37-4A00-AC9E-6107554A5EB3}
29637,,15,1,Võru,2,10,2.5,1,1,114.921059379534,{09F16F69-93CB-43CE-A519-32EAEB149587}
29639,,15,1,Ringtee,1,10,3.5,0,1,577.484195034094,{DA746DB7-188B-4423-A9EB-FBCBA0A0916F}
29642,,15,13,Hipodroomi,2,13,3.5,1,1,6.93208403048283,{44B4AB6A-E27A-454A-8D87-BBE56B874E97}
29647,,15,1,Kaupmehe,2,19,3.3,1,1,3.6,{5C7C442B-6693-4409-822E-48D2935B222E}
29650,,15,1,Võru,2,19,3.3,1,1,80.2641832426033,{32AD51AD-4548-4117-8B4A-98CB35B0A9A7}
